language	iso_code	gloss	global_id	local_id	transcription	cognate_class	notes
Ka-Gazli 5	kaz	thick	1244	thick	sʲeməz̥	B	Origin: Turkic
Ka-Gazli 6	kaz	one	1493	one	brɪw	A	Origin: Turkic
Ka-Gazli 6	kaz	two	1498	two	jekʲew	A	Origin: Turkic
Ka-Gazli 6	kaz	three	492	three	ʃuː	A	Origin: Turkic
Ka-Gazli 6	kaz	four	1500	four	tørtʲew	B	Origin: Turkic
Ka-Gazli 6	kaz	five	493	five	bʲes	A	Origin: Turkic
Ka-Gazli 6	kaz	big	1202	big	ʉlken	A	Origin: Turkic
Ka-Gazli 6	kaz	long	1203	long	ɔzaq	A	Origin: Turkic
Ka-Gazli 6	kaz	wide	1243	wide	kʲɪŋ	A	Origin: Turkic
Ka-Gazli 6	kaz	thick	1244	thick	qalən	C	Origin: Turkic
Ka-Gazli 7	kaz	one	1493	one	bɪr	A	Origin: Turkic
Ka-Gazli 7	kaz	two	1498	two	jɪkə	A	Origin: Turkic
Ka-Gazli 7	kaz	three	492	three	ʉʃ	A	Origin: Turkic
Ka-Gazli 7	kaz	four	1500	four	tørt	A	Origin: Turkic
Ka-Gazli 7	kaz	five	493	five	bʲɪs	A	Origin: Turkic
Ka-Gazli 7	kaz	big	1202	big	ʉlken	A	Origin: Turkic
Ka-Gazli 7	kaz	long	1203	long	købrik	C	Origin: Turkic
Ka-Gazli 7	kaz	thick	1244	thick	sʲemɪz̥	B	Origin: Turkic
Ka-Raushan 1	kaz	one	1493	one	bər	A	Origin: Turkic
Ka-Raushan 1	kaz	two	1498	two	jikə	A	Origin: Turkic
Ka-Raushan 1	kaz	three	492	three	yʃ	A	Origin: Turkic
Ka-Raushan 1	kaz	four	1500	four	tørt	A	Origin: Turkic
Ka-Raushan 1	kaz	five	493	five	bʲɪs	A	Origin: Turkic
Ka-Raushan 1	kaz	big	1202	big	ʉlkɛn	A	Origin: Turkic
Ka-Raushan 1	kaz	long	1203	long	uzaq	A	Origin: Turkic
Ka-Raushan 1	kaz	wide	1243	wide	kʲeŋ	A	Origin: Turkic
Ka-Raushan 1	kaz	thick	1244	thick	tɔntaq	D	Origin: Turkic
Ka-Raushan 2	kaz	one	1493	one	bər	A	Origin: Turkic
Ka-Raushan 2	kaz	two	1498	two	jɪkə	A	Origin: Turkic
Ka-Raushan 2	kaz	three	492	three	yʧ	A	Origin: Turkic
Ka-Raushan 2	kaz	four	1500	four	tœrt	A	Origin: Turkic
Ka-Raushan 2	kaz	five	493	five	bʲɪʃ	A	Origin: Turkic
Ka-Raushan 2	kaz	big	1202	big	ʉlkɛn	A	Origin: Turkic
Ka-Raushan 2	kaz	long	1203	long	uzaq	A	Origin: Turkic
Ka-Raushan 2	kaz	wide	1243	wide	kʲeŋ	A	Origin: Turkic
Ka-Raushan 2	kaz	thick	1244	thick	sʲemɨz̥	B	Origin: Turkic
Ka-Raushan 3	kaz	one	1493	one	bər	A	Origin: Turkic
Ka-Raushan 3	kaz	two	1498	two	jɪke	A	Origin: Turkic
Ka-Raushan 3	kaz	three	492	three	øʃ	A	Origin: Turkic
Ka-Raushan 3	kaz	four	1500	four	tørt	A	Origin: Turkic
Ka-Raushan 3	kaz	five	493	five	bʲɪs	A	Origin: Turkic
Ka-Raushan 3	kaz	big	1202	big	ʉlkən	A	Origin: Turkic
Ka-Raushan 3	kaz	long	1203	long	alɨs	D	Origin: Turkic
Ka-Raushan 3	kaz	wide	1243	wide	kʲeŋ	A	Origin: Turkic
Ka-Raushan 3	kaz	thick	1244	thick	sʲemɨz̥	B	Origin: Turkic
Ka-Raushan 4	kaz	one	1493	one	bər	A	Origin: Turkic
Ka-Raushan 4	kaz	two	1498	two	jɪkə	A	Origin: Turkic
Ka-Raushan 4	kaz	three	492	three	ʉʃ	A	Origin: Turkic
Ka-Raushan 4	kaz	four	1500	four	tørt	A	Origin: Turkic
Ka-Raushan 4	kaz	five	493	five	bʲɪs	A	Origin: Turkic
Ka-Raushan 4	kaz	big	1202	big	ʉlken	A	Origin: Turkic
Ka-Raushan 4	kaz	long	1203	long	uzaq	A	Origin: Turkic
Ka-Raushan 4	kaz	wide	1243	wide	kʲeŋ	A	Origin: Turkic
Ka-Raushan 4	kaz	thick	1244	thick	sʲemɨz̥	B	Origin: Turkic
Ki-Akmuz 1	kir	one	1493	one	bir	A	Origin: Turkic
Ki-Akmuz 1	kir	two	1498	two	jeki	A	Origin: Turkic
Ki-Akmuz 1	kir	three	492	three	yʧ	A	Origin: Turkic
Ki-Akmuz 1	kir	four	1500	four	tort	A	Origin: Turkic
Ki-Akmuz 1	kir	five	493	five	bʲeʃ	A	Origin: Turkic
Ki-Akmuz 1	kir	big	1202	big	ʧɔŋ	B	Origin: Turkic
Ki-Akmuz 1	kir	long	1203	long	uzɒq	A	Origin: Turkic
Ki-Akmuz 1	kir	wide	1243	wide	deneŋ	C	Origin: Turkic
Ki-Akmuz 1	kir	thick	1244	thick	tɔlɨq	E	Origin: Turkic
Ki-Akmuz 2	kir	one	1493	one	bir	A	Origin: Turkic
Ki-Akmuz 2	kir	two	1498	two	jeki	A	Origin: Turkic
Ki-Akmuz 2	kir	three	492	three	yʧ	A	Origin: Turkic
Ki-Akmuz 2	kir	four	1500	four	tørt	A	Origin: Turkic
Ki-Akmuz 2	kir	five	493	five	bʲeʃ	A	Origin: Turkic
Ki-Akmuz 2	kir	big	1202	big	ʧɔŋ	B	Origin: Turkic
Ki-Akmuz 2	kir	long	1203	long	uzɒq	A	Origin: Turkic
Ki-Akmuz 2	kir	wide	1243	wide	ʤazɨ	D	Origin: Turkic
Ki-Akmuz 2	kir	thick	1244	thick	sʲemɪz̥	B	Origin: Turkic
Ki-Akmuz 3	kir	one	1493	one	bir	A	Origin: Turkic
Ki-Akmuz 3	kir	two	1498	two	jeki	A	Origin: Turkic
Ki-Akmuz 3	kir	three	492	three	yʧ	A	Origin: Turkic
Ki-Akmuz 3	kir	four	1500	four	tørt	A	Origin: Turkic
Ki-Akmuz 3	kir	five	493	five	bʲeʃ	A	Origin: Turkic
Ki-Akmuz 3	kir	big	1202	big	ʧɔŋ	B	Origin: Turkic
Ki-Akmuz 3	kir	long	1203	long	køpkø	E	Origin: Turkic
Ki-Akmuz 3	kir	thick	1244	thick	sʲemiz̥	B	Origin: Turkic
Ki-Barskoon	kir	one	1493	one	bir̯	A	Origin: Turkic
Ki-Barskoon	kir	two	1498	two	jekɪ	A	Origin: Turkic
Ki-Barskoon	kir	three	492	three	yʧ	A	Origin: Turkic
Ki-Barskoon	kir	four	1500	four	tørt	A	Origin: Turkic
Ki-Barskoon	kir	five	493	five	bʲɪʃ	A	Origin: Turkic
Ki-Barskoon	kir	big	1202	big	ʧɔŋ	B	Origin: Turkic
Ki-Barskoon	kir	long	1203	long	uzɒq	A	Origin: Turkic
Ki-Barskoon	kir	wide	1243	wide	kʲɛn	A	Origin: Turkic
Ki-Barskoon	kir	thick	1244	thick	ʤɔːn	A	Origin: Turkic
Ki-Kulanak 1	kir	one	1493	one	bir̯	A	Origin: Turkic
Ki-Kulanak 1	kir	two	1498	two	jeki	A	Origin: Turkic
Ki-Kulanak 1	kir	three	492	three	yʧ	A	Origin: Turkic
Ki-Kulanak 1	kir	four	1500	four	tørt	A	Origin: Turkic
Ki-Kulanak 1	kir	five	493	five	bʲeʃ	A	Origin: Turkic
Ki-Kulanak 1	kir	big	1202	big	ʧɔŋ	B	Origin: Turkic
Ki-Kulanak 1	kir	long	1203	long	uzɒq	A	Origin: Turkic
Ki-Kulanak 1	kir	wide	1243	wide	denen	C	Origin: Turkic
Ki-Kulanak 1	kir	thick	1244	thick	tɔlɜq	E	Origin: Turkic
Ki-Kulanak 2	kir	one	1493	one	bir	A	Origin: Turkic
Ki-Kulanak 2	kir	two	1498	two	jeki	A	Origin: Turkic
Ki-Kulanak 2	kir	three	492	three	yʧ	A	Origin: Turkic
Ki-Kulanak 2	kir	four	1500	four	tørt	A	Origin: Turkic
Ki-Kulanak 2	kir	five	493	five	bʲeʃ	A	Origin: Turkic
Ki-Kulanak 2	kir	big	1202	big	ʧɔŋ	B	Origin: Turkic
Ki-Kulanak 2	kir	long	1203	long	uzɒq	A	Origin: Turkic
Ki-Kulanak 2	kir	wide	1243	wide	ʤazɨ	D	Origin: Turkic
Ki-Kulanak 2	kir	thick	1244	thick	sʲemɨz̥	B	Origin: Turkic
Ki-Kulanak 3	kir	one	1493	one	bir	A	Origin: Turkic
Ki-Kulanak 3	kir	two	1498	two	jeki	A	Origin: Turkic
Ki-Kulanak 3	kir	three	492	three	yʧ	A	Origin: Turkic
Ki-Kulanak 3	kir	four	1500	four	tørt	A	Origin: Turkic
Ki-Kulanak 3	kir	five	493	five	bʲeʃ	A	Origin: Turkic
Ki-Kulanak 3	kir	big	1202	big	ʧɔŋ	B	Origin: Turkic
Ki-Kulanak 3	kir	long	1203	long	uzɒχ	A	Origin: Turkic
Ki-Kulanak 3	kir	wide	1243	wide	denen	C	Origin: Turkic
Ki-Kulanak 3	kir	thick	1244	thick	sʲemiz̥	B	Origin: Turkic
Ki-Kulanak 4	kir	one	1493	one	bir	A	Origin: Turkic
Ki-Kulanak 4	kir	two	1498	two	jeki	A	Origin: Turkic
Ki-Kulanak 4	kir	three	492	three	yʧ	A	Origin: Turkic
Ki-Kulanak 4	kir	four	1500	four	tørt	A	Origin: Turkic
Ki-Kulanak 4	kir	five	493	five	bʲeʃ	A	Origin: Turkic
Ki-Kulanak 4	kir	big	1202	big	ʧɔŋ	B	Origin: Turkic
Ki-Kulanak 4	kir	long	1203	long	uzɒq	A	Origin: Turkic
Ki-Kulanak 4	kir	wide	1243	wide	ʤazɨ	D	Origin: Turkic
Ki-Kulanak 4	kir	thick	1244	thick	ʤɔːn	A	Origin: Turkic
Ki-Kulanak 5	kir	one	1493	one	bir	A	Origin: Turkic
Ki-Kulanak 5	kir	two	1498	two	jeki	A	Origin: Turkic
Ki-Kulanak 5	kir	three	492	three	yʧ	A	Origin: Turkic
Ki-Kulanak 5	kir	four	1500	four	tørt	A	Origin: Turkic
Ki-Kulanak 5	kir	five	493	five	bʲeʃ	A	Origin: Turkic
Ki-Kulanak 5	kir	big	1202	big	ʧɔŋ	B	Origin: Turkic
Ki-Kulanak 5	kir	long	1203	long	uzɔʁ	A	Origin: Turkic
Ki-Kulanak 5	kir	wide	1243	wide	deneŋ	C	Origin: Turkic
Ki-Kulanak 5	kir	thick	1244	thick	sʲemɨz̥	B	Origin: Turkic
Ki-Orday 1	kir	one	1493	one	bɪr	A	Origin: Turkic
Ki-Orday 1	kir	two	1498	two	jikʲe	A	Origin: Turkic
Ki-Orday 1	kir	three	492	three	ʉʧ	A	Origin: Turkic
Ki-Orday 1	kir	four	1500	four	tørt	A	Origin: Turkic
Ki-Orday 1	kir	five	493	five	bʲeʃ	A	Origin: Turkic
Ki-Orday 1	kir	big	1202	big	ʧɔŋ	B	Origin: Turkic
Ki-Orday 1	kir	long	1203	long	uzɒq	A	Origin: Turkic
Ki-Orday 1	kir	wide	1243	wide	kʲeŋ	A	Origin: Turkic
Ki-Orday 1	kir	thick	1244	thick	ʒɔːn	A	Origin: Turkic
Ki-Orday 2	kir	one	1493	one	bər	A	Origin: Turkic
Ki-Orday 2	kir	two	1498	two	ɛkkɪ	A	Origin: Turkic
Ki-Orday 2	kir	three	492	three	yʧ	A	Origin: Turkic
Ki-Orday 2	kir	four	1500	four	tør	A	Origin: Turkic
Ki-Orday 2	kir	five	493	five	bʲeʃ	A	Origin: Turkic
Ki-Orday 2	kir	big	1202	big	katta	C	Origin: Turkic
Ki-Orday 2	kir	long	1203	long	uzɒq	A	Origin: Turkic
Ki-Orday 2	kir	wide	1243	wide	kʲɪŋ	A	Origin: Turkic
Ki-Orday 2	kir	thick	1244	thick	sʲemɨs	B	Origin: Turkic
Ki-Orday 3	kir	one	1493	one	bɪʃ	A	Origin: Turkic
Ki-Orday 3	kir	two	1498	two	ɛkʲɪ	A	Origin: Turkic
Ki-Orday 3	kir	three	492	three	yʧ	A	Origin: Turkic
Ki-Orday 3	kir	four	1500	four	tørt	A	Origin: Turkic
Ki-Orday 3	kir	five	493	five	bʲeʃ	A	Origin: Turkic
Ki-Orday 3	kir	big	1202	big	ʧɔŋ	B	Origin: Turkic
Ki-Orday 3	kir	long	1203	long	alɨs	D	Origin: Turkic
Ki-Orday 3	kir	wide	1243	wide	kʲeŋ	A	Origin: Turkic
Ki-Orday 3	kir	thick	1244	thick	sʲemɨs	B	Origin: Turkic
Ki-Orday 4	kir	one	1493	one	biʃ	A	Origin: Turkic
Ki-Orday 4	kir	two	1498	two	ɛkkʲɪ	A	Origin: Turkic
Ki-Orday 4	kir	three	492	three	yʧ	A	Origin: Turkic
Ki-Orday 4	kir	four	1500	four	tørt	A	Origin: Turkic
Ki-Orday 4	kir	five	493	five	bʲeʃ	A	Origin: Turkic
Ki-Orday 4	kir	big	1202	big	ʧɔŋ	B	Origin: Turkic
Ki-Orday 4	kir	long	1203	long	alɨs	D	Origin: Turkic
Ki-Orday 4	kir	thick	1244	thick	sʲemɨz̥	B	Origin: Turkic
Ki-Tamga	kir	one	1493	one	bir	A	Origin: Turkic
Ki-Tamga	kir	two	1498	two	jeke	A	Origin: Turkic
Ki-Tamga	kir	three	492	three	yʧ	A	Origin: Turkic
Ki-Tamga	kir	four	1500	four	tørt	A	Origin: Turkic
Ki-Tamga	kir	five	493	five	bʲeʃ	A	Origin: Turkic
Ki-Tamga	kir	big	1202	big	ʧɔŋ	B	Origin: Turkic
Ki-Tamga	kir	long	1203	long	uzɒq	A	Origin: Turkic
Ki-Tamga	kir	wide	1243	wide	kʲɛn	A	Origin: Turkic
Ki-Tamga	kir	thick	1244	thick	ʤɔːn	A	Origin: Turkic
KK-Halqabad 1	kaa	one	1493	one	bər	A	Origin: Turkic
KK-Halqabad 1	kaa	two	1498	two	jɪkɐ	A	Origin: Turkic
KK-Halqabad 1	kaa	three	492	three	ʉʃ	A	Origin: Turkic
KK-Halqabad 1	kaa	four	1500	four	tørt	A	Origin: Turkic
KK-Halqabad 1	kaa	five	493	five	bʲes	A	Origin: Turkic
KK-Halqabad 1	kaa	big	1202	big	ʉlken	A	Origin: Turkic
KK-Halqabad 1	kaa	wide	1243	wide	kʲeŋ	A	Origin: Turkic
KK-Halqabad 1	kaa	thick	1244	thick	sʲemɨz̥	B	Origin: Turkic
KK-Halqabad 2	kaa	one	1493	one	bər	A	Origin: Turkic
KK-Halqabad 2	kaa	two	1498	two	jɪkɐ	A	Origin: Turkic
KK-Halqabad 2	kaa	three	492	three	ʉʃ	A	Origin: Turkic
KK-Halqabad 2	kaa	four	1500	four	tørt	A	Origin: Turkic
KK-Halqabad 2	kaa	five	493	five	bʲes	A	Origin: Turkic
KK-Halqabad 2	kaa	big	1202	big	ʉlken	A	Origin: Turkic
KK-Halqabad 2	kaa	long	1203	long	uzaq	A	Origin: Turkic
KK-Halqabad 2	kaa	wide	1243	wide	kʲeŋ	A	Origin: Turkic
KK-Halqabad 2	kaa	thick	1244	thick	sʲemɨz̥	B	Origin: Turkic
KK-Halqabad 3	kaa	one	1493	one	bər	A	Origin: Turkic
KK-Halqabad 3	kaa	two	1498	two	jɪkə	A	Origin: Turkic
KK-Halqabad 3	kaa	three	492	three	ʉʃ	A	Origin: Turkic
KK-Halqabad 3	kaa	four	1500	four	tørt	A	Origin: Turkic
KK-Halqabad 3	kaa	five	493	five	bʲes	A	Origin: Turkic
KK-Halqabad 3	kaa	big	1202	big	ʉlkøn	A	Origin: Turkic
KK-Halqabad 3	kaa	long	1203	long	uzaq	A	Origin: Turkic
KK-Halqabad 3	kaa	wide	1243	wide	kʲeŋ	A	Origin: Turkic
KK-Halqabad 3	kaa	thick	1244	thick	ʒʊwan	A	Origin: Turkic
KK-Kokdarya 1	kaa	one	1493	one	bər	A	Origin: Turkic
KK-Kokdarya 1	kaa	two	1498	two	jekke	A	Origin: Turkic
KK-Kokdarya 1	kaa	three	492	three	yʧ	A	Origin: Turkic
KK-Kokdarya 1	kaa	four	1500	four	tœrt	A	Origin: Turkic
KK-Kokdarya 1	kaa	five	493	five	bʲeʃ	A	Origin: Turkic
KK-Kokdarya 1	kaa	big	1202	big	ʉlgən	A	Origin: Turkic
KK-Kokdarya 1	kaa	long	1203	long	uzaq	A	Origin: Turkic
KK-Kokdarya 1	kaa	wide	1243	wide	kʲeŋ	A	Origin: Turkic
KK-Kokdarya 1	kaa	thick	1244	thick	sʲemɨz̥	B	Origin: Turkic
KK-Kokdarya 2	kaa	one	1493	one	bər	A	Origin: Turkic
KK-Kokdarya 2	kaa	two	1498	two	jika	A	Origin: Turkic
KK-Kokdarya 2	kaa	three	492	three	ʉʃ	A	Origin: Turkic
KK-Kokdarya 2	kaa	four	1500	four	tœrt	A	Origin: Turkic
KK-Kokdarya 2	kaa	five	493	five	bʲɪs	A	Origin: Turkic
KK-Kokdarya 2	kaa	big	1202	big	ʉlken	A	Origin: Turkic
KK-Kokdarya 2	kaa	long	1203	long	ʊzaq	A	Origin: Turkic
KK-Kokdarya 2	kaa	wide	1243	wide	kʲɪŋ	A	Origin: Turkic
KK-Kokdarya 2	kaa	thick	1244	thick	sʲemɨz̥	B	Origin: Turkic
KK-Kokdarya 3	kaa	one	1493	one	bər	A	Origin: Turkic
KK-Kokdarya 3	kaa	two	1498	two	jɪkʲe	A	Origin: Turkic
KK-Kokdarya 3	kaa	three	492	three	yʧ	A	Origin: Turkic
KK-Kokdarya 3	kaa	four	1500	four	tørt	A	Origin: Turkic
KK-Kokdarya 3	kaa	five	493	five	bʲɪs	A	Origin: Turkic
KK-Kokdarya 3	kaa	big	1202	big	katta	C	Origin: Turkic
KK-Kokdarya 3	kaa	long	1203	long	uzaq	A	Origin: Turkic
KK-Kokdarya 3	kaa	wide	1243	wide	kʲeŋ	A	Origin: Turkic
KK-Kokdarya 3	kaa	thick	1244	thick	sʲemɨz̥	B	Origin: Turkic
KK-Kokdarya 4	kaa	one	1493	one	bər	A	Origin: Turkic
KK-Kokdarya 4	kaa	two	1498	two	jekə	A	Origin: Turkic
KK-Kokdarya 4	kaa	three	492	three	ʉʃ	A	Origin: Turkic
KK-Kokdarya 4	kaa	four	1500	four	tørt	A	Origin: Turkic
KK-Kokdarya 4	kaa	five	493	five	bʲes	A	Origin: Turkic
KK-Kokdarya 4	kaa	big	1202	big	ʉlken	A	Origin: Turkic
KK-Kokdarya 4	kaa	long	1203	long	uzaq	A	Origin: Turkic
KK-Kokdarya 4	kaa	wide	1243	wide	kʲeŋ	A	Origin: Turkic
KK-Kokdarya 4	kaa	thick	1244	thick	qalən	C	Origin: Turkic
KK-Shege 1	kaa	one	1493	one	bər	A	Origin: Turkic
KK-Shege 1	kaa	two	1498	two	jɪkɐ	A	Origin: Turkic
KK-Shege 1	kaa	three	492	three	ʉʃ	A	Origin: Turkic
KK-Shege 1	kaa	four	1500	four	twørt	A	Origin: Turkic
KK-Shege 1	kaa	five	493	five	bʲɪs	A	Origin: Turkic
KK-Shege 1	kaa	big	1202	big	ʉlkən	A	Origin: Turkic
KK-Shege 1	kaa	long	1203	long	uzaq	A	Origin: Turkic
KK-Shege 1	kaa	wide	1243	wide	kʲɪŋ	A	Origin: Turkic
KK-Shege 1	kaa	thick	1244	thick	sʲemɪz̥	B	Origin: Turkic
KK-Shege 2	kaa	one	1493	one	bər̯	A	Origin: Turkic
KK-Shege 2	kaa	two	1498	two	jɪkɐ	A	Origin: Turkic
KK-Shege 2	kaa	three	492	three	ʉʃ	A	Origin: Turkic
KK-Shege 2	kaa	four	1500	four	tørt	A	Origin: Turkic
KK-Shege 2	kaa	five	493	five	bʲɪs	A	Origin: Turkic
KK-Shege 2	kaa	big	1202	big	ʉlkən	A	Origin: Turkic
KK-Shege 2	kaa	long	1203	long	uzaq	A	Origin: Turkic
KK-Shege 2	kaa	wide	1243	wide	kʲeŋ	A	Origin: Turkic
KK-Shege 2	kaa	thick	1244	thick	tɔlq	E	Origin: Turkic
KK-Shege 3	kaa	one	1493	one	bər	A	Origin: Turkic
KK-Shege 3	kaa	two	1498	two	jɪkɐ	A	Origin: Turkic
KK-Shege 3	kaa	three	492	three	ʉʃ	A	Origin: Turkic
KK-Shege 3	kaa	four	1500	four	tørt	A	Origin: Turkic
KK-Shege 3	kaa	five	493	five	bʲɪs	A	Origin: Turkic
KK-Shege 3	kaa	big	1202	big	ʉlken	A	Origin: Turkic
KK-Shege 3	kaa	long	1203	long	uzaq	A	Origin: Turkic
KK-Shege 3	kaa	wide	1243	wide	kʲeŋ	A	Origin: Turkic
KK-Shege 3	kaa	thick	1244	thick	ʒʊwan	A	Origin: Turkic
KK-Shege 4	kaa	one	1493	one	bər	A	Origin: Turkic
KK-Shege 4	kaa	two	1498	two	jɪkɐ	A	Origin: Turkic
KK-Shege 4	kaa	three	492	three	ʉʃ	A	Origin: Turkic
KK-Shege 4	kaa	four	1500	four	tørt	A	Origin: Turkic
KK-Shege 4	kaa	five	493	five	bʲɪs	A	Origin: Turkic
KK-Shege 4	kaa	big	1202	big	ʉlkʲen	A	Origin: Turkic
KK-Shege 4	kaa	long	1203	long	ʊzaq	A	Origin: Turkic
KK-Shege 4	kaa	thick	1244	thick	tɔlpaq	J	Origin: Turkic
U-Hitoy 1	uzb	one	1493	one	bɪr	A	Origin: Turkic
U-Hitoy 1	uzb	two	1498	two	jɪkə	A	Origin: Turkic
U-Hitoy 1	uzb	three	492	three	yʧ	A	Origin: Turkic
U-Hitoy 1	uzb	four	1500	four	tørt	A	Origin: Turkic
U-Hitoy 1	uzb	five	493	five	bʲɪʃ	A	Origin: Turkic
U-Hitoy 1	uzb	big	1202	big	ʉlkən	A	Origin: Turkic
U-Hitoy 1	uzb	long	1203	long	uzaq	A	Origin: Turkic
U-Hitoy 1	uzb	wide	1243	wide	kʲeŋ	A	Origin: Turkic
U-Hitoy 1	uzb	thick	1244	thick	sʲemɪz̥	B	Origin: Turkic
U-Hitoy 2	uzb	one	1493	one	ber	A	Origin: Turkic
U-Hitoy 2	uzb	two	1498	two	jɪkɐ	A	Origin: Turkic
U-Hitoy 2	uzb	three	492	three	ʉʧ	A	Origin: Turkic
U-Hitoy 2	uzb	four	1500	four	tørt	A	Origin: Turkic
U-Hitoy 2	uzb	five	493	five	bʲɪs	A	Origin: Turkic
U-Hitoy 2	uzb	big	1202	big	ʉlken	A	Origin: Turkic
U-Hitoy 2	uzb	long	1203	long	ʊzaq	A	Origin: Turkic
U-Hitoy 2	uzb	wide	1243	wide	kʲeŋ	A	Origin: Turkic
U-Hitoy 2	uzb	thick	1244	thick	sʲemɨz̥	B	Origin: Turkic
U-Hitoy 3	uzb	one	1493	one	bər	A	Origin: Turkic
U-Hitoy 3	uzb	two	1498	two	jɪkɐ	A	Origin: Turkic
U-Hitoy 3	uzb	three	492	three	ʉʃ	A	Origin: Turkic
U-Hitoy 3	uzb	four	1500	four	tørt	A	Origin: Turkic
U-Hitoy 3	uzb	five	493	five	bʲɪs	A	Origin: Turkic
U-Hitoy 3	uzb	big	1202	big	ʉlkɛn	A	Origin: Turkic
U-Hitoy 3	uzb	wide	1243	wide	kʲeŋ	A	Origin: Turkic
U-Hitoy 3	uzb	thick	1244	thick	sʲemɨz̥	B	Origin: Turkic
U-Novmetan 3	uzb	one	1493	one	bɪr	A	Origin: Turkic
U-Novmetan 3	uzb	two	1498	two	ikkʲe	A	Origin: Turkic
U-Novmetan 3	uzb	three	492	three	uʧ	A	Origin: Turkic
U-Novmetan 3	uzb	four	1500	four	tʉrt	A	Origin: Turkic
U-Novmetan 3	uzb	five	493	five	bɪʃ	A	Origin: Turkic
U-Novmetan 3	uzb	big	1202	big	qapta	C	Origin: Turkic
U-Novmetan 3	uzb	long	1203	long	uzɔq	A	Origin: Turkic
U-Novmetan 3	uzb	wide	1243	wide	keŋ	A	Origin: Turkic
U-Novmetan 3	uzb	thick	1244	thick	jɔɣɔn	A	Origin: Turkic
U-Soy Mahalla 1	uzb	one	1493	one	bər	A	Origin: Turkic
U-Soy Mahalla 1	uzb	two	1498	two	ikkʲe	A	Origin: Turkic
U-Soy Mahalla 1	uzb	three	492	three	yʧ	A	Origin: Turkic
U-Soy Mahalla 1	uzb	four	1500	four	tør	A	Origin: Turkic
U-Soy Mahalla 1	uzb	five	493	five	bʲeʃ	A	Origin: Turkic
